,@msvolition,Eggy,Pearadise,,104,123,122,109,101,72,64,57,141,115,142,78,72,Fluctuating,,PST,
,,skittles,bonofield,,109,39,119,91,136,138,135,-,88,155,332,,,small spike,,EST,"made a time travel, which i think reset the pattern. "
,@blondieC_,Carly,Honey,SW-5397-8981-2981,110,,,98,61,45,110,106,94,73,64,,,Fluctuating,,EST,Timezone EST
,mumumumu#6490,Mümü,Raftel,,108,98,136,183,369,162,126,97,56,45,80,93,84,,,BST,Timezone BST
,@0batey2,Jacob,Brink,,100,127,96,91,140,94,124,79,71,,,,,fluctuating,,BST,timezone BST
,,Aly,Faèbelle,,91,,,,,,,,,,,,,,,BST,Timezone BST
,Argo#0546,Jose,Argoville,,105,,52,143,,,72,,,,,,,,,EST / UST -5,Timezone EST / UST -5
,HykSs,Vinz,Long Island,,93,125,93,147,174,,,,,,,,,Small Spike,,GMT+8,GMT+8. First Buy
,@titboys,Felix,St. Cloud,,102,95,142,135,,,,,,,,,,,,GMT-7 / PST,GMT -7 (PST)
,,Sayren,Nowhere,,95,75,72,67,64,96,X,158,,,,,,Small Spike,,GMT+10,Southern Hemisphere
,@linnnnyy,tristy,oolong bay,,90,37,33,29,22,,,,,,,,,,,GMT+8,gmt +8
,,Nudlez,Isoland,,100,73,68,,,,,,,,,,,,,GMT+2 / CEST,"Made a time travel beginner mistake, now they're rotten"
,GamingFS#6381 / @GamingFourStars,Gaming,Inkopolis,SW-2956-5650-4210,97,137,135,94,114,59,52,108,110,CLOSED,,46,107,random,,GMT-4 / EDT,probably no good prices for this week :( [Max 136 by turnipprophet.io]
,,bulldozr,Oceara,,110,90,86,83,78,128,135,179,181,,,,,small spike,,GMT+2,Shop is closed friday
,,FarmorYoda,Palice ,,,63,58,54,49,46,42,118,122,151,166,164,43,,,GMT+2,Timezone GMT+2     Have not yet bought any turnips
,@LauraHG88,Laura,Hope,,91,49,45,42,39,35,31,128,91,136,172,,,Small spike,,GMT+0,Timezone GMT +0
,@mirzinho7,BadMorz,Perroville,,93,130,108,107,96,118,130,58,53,X,X,72,68,,,,
,,ari,Blu Lagoon,,98,75,68,64,145,116,182,214,186,,,,,Small spike,,GMT+7,Northern Hemisphere
,@8and1I2OutOf10 / 8&½OutOf10#3283,Anna,Sunsetleaf,4586-8584-6200,91,78,74,71,66,,,,,,,,,Decreasing / BS,,GMT+2,Timezone: GMT+2 (Summertime) | https://turnipprophet.io/
,Sargas-wielder#5644 ,Sargador,Hobbiton,,108,147,138,112,129,83,,,,,,,,Fluctuating,,EDT,EDT
,@RedFoxLacada,Angus,Lacada,,106,145,145,144,127,142,104,77,67,X,X,84,74,Decreasing/ss ,,BST,Maybe small spike on Friday... shop closed on friday(rip small spike)
,@kaijuscientists,Newt,Kawaiiju,,106,94,,,,,,,,,,,,,,,
,@yazzy1503,yaz!!!,peach cove,,97,58,55,,,,,,,,,,,,,,
,,Jill,Sunshine,,110,63,59,,,,,,,,,,,,,EST,Timezone EST
,@twoloavesofbread,Bread,Brioche,,90,79,75,71,67,63,:(,172,187,,,,,"""large"" spike",,EST,Timezone EST | https://turnipprophet.io/
,@iDonosaur,Donovan,Macaroni,,104,70,119,130,,,153,82,79,CLOSED,,63,,,,,
,@hinata4ever/pixiestyxs#0008,Ardy,Ferngully,1336-1317-5129,,78,74,70,67,67,,,518,,,,,,,,
,@barabba9174,Barabba,Barbaria,,106,81,116,103,144,177,163,57,52,49,45,,,,,,
,"@papakiku/daddykiku
#9643",Kiku,Orchid,,99,87,84,81,77,74,120,166,588,,,,,Big Spike,,CST,
,@sim7lizard,Sim7,Cornwall,7792--3025-2714,93,80,76,72,69,65,62,120,158,393,163,,,Decreasing - Big spike,,GMT-4 (EST),
,TazzenC#8897,Tazz,Blossom,,92,:(,97,92,112,:(,62,113,119,100,61,  CLOSED :(,,fluctating 2.0,,CET  (GMT +2),"SORRY, I ACCENTLY CLICKED SOMETHING AND MADE IT BLACK AND WHITE AND NOW I DONT KNOW HOW TO FIX IT. I'M SO SORRY, I NEVER MEANT TO :(  i understand if you dont want me on this doc anymore and ill leave if you want to"
,,Ben,Taco,,,?,80,,,,,,,,,,,,,,
,Friederike Treue,Fred,Eunonia,,99,,,,,,,,,,,,,,,,
,@Cometag598,Dany,Mango Taco,-,99,88,,,,,,,,,,,,"3,4,5",,GMT-4,GMT-4
,Luminous Moose#5423,Dan,Kwarenteen,,90,97,93,Closed,Closed,50,100,58,51,90,89,120,96,,,,
,@traviscfischer,Travis,Croftown,,90,95,113,115,122,,,,,,,,,,,,
,@breezykins1187,Briana,Oppidum,,105,114,68,61,141,124,140,,,,,,,,,,
,@triplrrrocha,Rocky,Rucksville,7443-5731-2616,96,49,132,102,150,194,x,,,,,,,small spike,,GMT-5,peaked
,,Tali,Wisteria,,96,95,98,,66,Nooks Closed,,65,,98,,,,Decreasing,,PST,Nooks cranny closed Wednesday
,,Molly,Mothra,,104,76,66,61,58,106,122,166,-,158,-,-,39,Small Spike,,CST,
,@crappyjordan,Jordy Boy,Bananatown,,108,94,89,85,81,NOOKSCLOSED,,,,,,,,D or BS,,PST,
,@MizzouBoyPride,Trevor,Starlight,,Not Sure,92,87,82,79,74,117,107,151,154,153,54,51,,,CST,
,@natalieinigo,Monty,Moco,,114,138,119,146,160,-,-,83,72,73,,,,F,,PST,
,,Louie,Gold Isle,,90,100,126,122,112,57,52,44,101,115,?,58,?,F,,GMT- 4 / EST,https://turnipprophet.io
,CaptainBluetooth#8026,James,New Carona,,97,,,,47,101,,,,,,,,,,,"I know I spelled it wrong, but I was hours in before I noticed."
,@asminnow,William,Curaçao,,92,,101,135,183,155,56,52,,45,,,,"SS, BS",,PST,Will likely be able to open morning of 4/22 (price should be stable then)
,,,Cherryton,,92,88,84,80,76,Nook's Closed,,64,60,,,,,SS,,,"Unable to open, price monitoring for data purposes only!"
,@Alby#2923,Alby,Morioh,,98,,60,,,,,,,,,,,,,,
,SweetPeaPlant#1207,Haiji,3.14land,,109,95,131,closed,closed,,,,,,,,,,,,
,,Brian,Urstadam,,107,59,55,50,100,114,,185,,,,,,Small Spike,,,
,rekt³#7601,Daniel,KiYorSara,,96,85,81,139,138,160,169,160,65,62,59,54,49,SS,,GMT+10,
,@tigertigerplush / Tig0r#3984,Tiger,Isla Corgi,,96,86,82,116,178,264,178,104,58,,85,,,BS,,GMT+1,
,Remington#8867,Remi,Datlof,,94,40,37,104,87,x,x,156,x,69,65,,,SS,,,x = unknown (shops closed :c)
,,Daniel,Wallis,,110,86,82,77,72,67,62,closed,closed,116,205,?,197,Small Spike,,GMT+2,
,@Ephotis#4924,Chris,Dunkerque,,99,88,84,80,76,73,?,?,557,189,107,,,Big spike,,,
,,sixy,Goosetown,,99,95,119,125,,,,,,,,,,,,,
,,Kurt,Kurtland,,91,85,119,87,60,53,50,106,124,97,,57,51,,,GMT-5,
,Pancho#3588,Pancho,Fragta,,91,117,107,101,121,,,,,,,,,,,GMT-5,
,,Jorisa,TakkaTukka,,96,86,124,104,67,60,126,68,63,58,104,108,131,Random,,GMT+2,
,@ Leelee (Discord),Leelee,Jonquil,,98,133,107,60,54,116,93,129,,,,,,Fluc,,EST,
,,Julia,Tortuga,,103,38,34,31,28,24,21,17,114,126,131,139,134,,,,
,@patrickjdempsey,Patrick,Patropia,,107,40,120,128,139,x,141,51,48,45,,,,,,EST,
,@galaxi_games_,Beans,ANXIETY,,103,80,76,107,136,153,161,,,,,,,small spike,,GMT-4,turnipprophet.io predicts peak price wed. pm (same or higher than am)
,@tenpenjenn,Jenn,Lunlumo,,96,82,79,75,114,,,,,,,,,,,,
,@braidrass,BraidRass,Tortuga,,103,109,73,75,70,119,118,128,63,58,,,,,,GMT-6,
,,cade,Island#939,1728-6371-4605,110,96,121,179,577,x,x,,,,,,,BIG SPIKE,,EST,market crashing in AM tomorrow.
,@kingfishwes,Warsley,Isla Huevo,,109,,,97,79,74,70,65,62,54,52,,,decreasing,,,
,,Dave,Alethela,,104,,84,92,111,134,140,139,64,60,56,52,,Small Spike,,MST,
,,Tom,Hispaniola,,97,59,54,50,47,126,107,149,154,142,57,54,,Small Spike,,GMT - 4 / EST,turnipprophet.io
,@roseymacdoo,Rosey,Frogtopia,,94,133,139,81,71,63,117,closed,closed,,,,,,,GMT +1,
,,Romainmm,FarAway,,96,103,121,65,55,99,103,,,,,,,,,,
,xantonin#6799,Anthony,Yes,,96,85,82,77,72,68,64,60,56,52,,,,Decreasing,,EDT,
,AnoniCat#0365,Megan,Lemon,,108,96,93,88,83,79,130,203,358,173,114,80,95,,,,
,@kyra_tan,Tom Nook,Nook Inc.,,100,54,55,CLOSED,,126,178,,,,,,,,,,
,Acephalyss#3706,Lyss ,Homko,,93,80,76,72,68,64,87,140,441,,110,,,Big spike,,GMT-5,
,Mobbers#4446,Tony,StonrVille,,91,71,75,136,95,145,150,147,47,,,,,Small Spike,,PST,
,,Betan,Noruega,,92,71,82,101,90,74,31,35,69,,,,,Decrease,,,
,Zudie98#9616,Chase,Chasemania,,99,83,80,76,73,68,66,97,164,589,189,97,,Big Spike,,UTC-6,Friday AM Peak
,,Berenger,Sunnyside,,90,80,76,73,70,65,95,94,131,140,138,CLOSED,,,,,Why such a low peak?
,@pacohertez,Quitsalot,Peterland,,102,,,,,,,,,,,32,35,,,PST,Joined earlier this week. 
