,There's an open island right now!,Our discord server is now public! Join and make it easier than ever to communicate with your Turnip Mafia family!,,,,,,,,,,https://discord.gg/uj7CCTT,,,,,,,,,,Your base chance for each pattern is:,,,,,,,,,,,,
,dAnkeykAnG#9311,matt,Coco,,1100,105,53,120,146,146,155,152,63,59,,,,,,,Random ,20%,35%,30%,15%,,"sold on the first downturn, wed pm",,,,,,,
,@leahchatter,Leah,IslaNublar,,4700,91,81,77,74,121,133,332,169,106,46,,,,Big Spike,,Decreasing,25%,25%,45%,5%,PST,,,,,,,,
,mumumumu#6490,Mümü,Raftel,,12000,96,122,108,130,60,,45,,104,,,,,,,Gentle Spike,45%,15%,25%,15%,GMT-4,,,,,,,,
,,Tali,Wisteria,,1600,95,84,80,103,123,524,160,96,,44,,,,,,Random ,20%,35%,30%,15%,GMT-7 (PST),Peak Wednesday AM,,,,,,,
,Star#0764,Star,Tigerscove,,30000,106,144,76,70,,,,,,,,,,,,Random ,20%,35%,30%,15%,,,,,,,,,
,,Emilia,Slauvakia,,1180,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,@LauraHG88,Laura,Hope,,,108,93,88,83,78,73,69,134,206,,,,,Large Spike,,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,@iSkwerl,Aaron,Moonstone,,12000,95,82,91,147,313,,,,,,,,,LS,,Gentle Spike,45%,15%,25%,15%,GMT -6 (CST),Tuesday PM 190-570,,,,,,,
,amet666#7092,cedricl,cedricl,,16000,108,109,140,,,,,,,,,,,Random,,Random ,20%,35%,30%,15%,GMT+8,,,,,,,,
,@GamingFourStars / GamingFS#6381,Gaming,Inkopolis,SW-2956-5650-4210 ,2700,90,78,75,72,69,82,153,477,147,102,61,60,124,LS 100%,,Big Spike,50%,25%,5%,20%,GMT -4 (EDT) ,"Thurs AM 180-540 | Session over, thanks everyone! :D",,,,,,,
,Capt. Cannon,Capt. Cannon,Huxlandia,,"6,000",102,89,83,82,86,74,70,65,61,57,,,,,,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,Acephalyss#3706,Lyss,Homko,,"9,520",96,84,128,171,464,164,100,63,,60,79,,,Big Spike,,Gentle Spike,45%,15%,25%,15%,GMT -5 (EST),,,,,,,,
,@PsychoPyro813,Bridie,Nevinova,,"~14,000",97,111,67,59,102,127,120,97,99,116,72,63,54,Random,,Gentle Spike,45%,15%,25%,15%,GMT -5 (CDT),,,,,,,,
,@sepientia,Lala,Hyazinth,,1000, ,120,,,,,,,,,,,,,,Gentle Spike,45%,15%,25%,15%,GMT+1,,,,,Random,Gentle Spike,Big Spike,Decreasing
,@MercureAC ,Mercure,Ronron ,,4000,93,76,,110,147,162,,,,,,,,Ss or bs,,Random ,20%,35%,30%,15%,GMT+1,,,,Random ,0.20,0.35,0.30,0.15
,@chimlay,,,,,,95,90,85,80,75,71,67,63,58,53,48,44,,,Gentle Spike,45%,15%,25%,15%,GMT+1,,,,Big Spike,0.50,0.25,0.05,0.20
,chewy#0237,skittles,bonofield,,7900,99,47,43,39,,,27,,,,,,,small spike,,Random ,20%,35%,30%,15%,ESt,,,,Decreasing,0.25,0.25,0.45,0.05
,@iDonosaur,Donovan,Macaroni,,,110,70,60,55,103,137,110,73,64,134,118,104,108,,,,,,,,,,,,Gentle Spike,0.45,0.15,0.25,0.15
,xantonin#6799,Anthony,Yes,,12000,97,128,106,70,66,,,,,,,,,Random,,Decreasing,25%,25%,45%,5%,GMT -4 (EDT),,,,,,,,
,@kingfishwes,Warsley,Isla Huevo,,,109,65,60,55,51,,,,,,,,,,,,,,,,,,,,,,,,
,@geeindustries,Cee,Pupeen,,,90,77,101,128,355,130,95,68,78,48,67,56,75,,,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,blackmarketcds#6228,Erin,Doggies,,10000,107,95,91,86,81,77,130,158,468,163,125,81,,Big Spike,,Gentle Spike,45%,15%,25%,15%,GMT -7 (PST),,,,,,,,
,@triplrrrocha,Rocky,Rucksville,,1250,106,91,88,84,135,192,319,CLSD,CLSD,CLSD,CLSD,CLSD,CLSD,Big Spike,,Random ,20%,35%,30%,15%,gmt-5 (cst),Peak during afternoon,,,,,,,
,Boxcar#0779,su tart,inc foot,,,,87,83,80,76,71,67,99,189,239,177,91,68,Big Spike,,,,,,,GMT -4 (EDT),,,,,,,,
,elemental sunshine#7154,Kazuki,Pokora,,4500,90,59,56,54,51,48,125,125,139,,,,,Small Spike,,Gentle Spike,45%,15%,25%,15%,GMT -5 (CDT),,,,,,,,
,,Kurt,Kurtland,,3000,93,127,126,113,56,,,,,,,,,,,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,apipher,Alex,Scoranges,,1100,95,93,75,70,65,,,,,,,,,,,,,,,,GMT -4 (EDT),,,,,,,,
,@galaxi_games_,Beans,ANXIETY,,,107,x,89,x,199,,,,,,,,,Big Spike,,Decreasing,25%,25%,45%,5%,GMT -4 (EDT),turniprophet.io predicts peak prices (max 642) wed. am,,,,,,,
,@natalieinigo,Monty,Moco,,,106,68,64,60,56,55,111,125,150,,,,,Small Spike,,Random ,20%,35%,30%,15%,,,,,,,,,
,,Sayren,Nowhere,,10000,96,86,83,76,89,147,252,x,122,,,,,,,Gentle Spike,45%,15%,25%,15%,GMT +10,,,,,,,,
,@Kimochiyo,Lights,Kimochiyo,,,108,110,99,147,134,,,,,,,,,,,Random ,20%,35%,30%,15%,GMT -5 (CST),,,,,,,,
,@RoseyMacdoo,Rosey,Frogtopia,,,92,77,,68,63,,93,130,,,,,,,,Random ,20%,35%,30%,15%,,,,,,,,,
,@jerem_boyer / jerem_boyer#9411,jerem,Trinit-ile,,10000,94,46,96,95,,,,,,,,,,Small Spike,,Big Spike,50%,25%,5%,20%,,,,,,,,,
,@fayruj#7799,Fayruj,Skyrule,,5000,102,71,112,134,145,,,,,,,,,Gentle Spike,,Gentle Spike,0%,100%,0%,0%,GMT+1,Peak Wednesday AM or PM,,,,,,,
,@mirzinho7,BadMorz,Perroville,,,110,141,136,156,,,,,,,,,,,,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,,Thieuthieu,Madalena,,4800,105,125,132,125,77,,,,,,,,,,,,,,,,,,,,,,,,
,Sargas-wielder#5644 ,Sargador,Hobbiton ,,,98,81,78,96,105,141,149,143,,39,,31,,GS,,Random ,20%,35%,30%,15%,EDT ,Peak Wednesday AM or PM,,,,,,,
,@8and1I2OutOf10 / 8&½OutOf10#3283,Anna,Sunsetleaf,,,95,49,44,115,106,135,140,136,65,62,59,54,50,RD,,Big Spike,50%,25%,5%,20%,,,,,,,,,
,@inkyau,inkyau,,,,93,63,59,53,105,97,160,201,191,55,,,,,,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,@JazMtz_,Serena,Isla Luna,,,106,,,86,81,78,110,,501,,,,,,,Random ,20%,35%,30%,15%,,,,,,,,,
,@themomojelly / MomoJelly#7167,Momo,Jelly Town,,3000,99,66,63,59,55,50,,,,,,,,Gentle Spike,,Random ,20%,35%,30%,15%,EDT,,,,,,,,
,Scales#0251,Lyra,New Bark,SW-0066-0654-4813,850,97,53,,46,41,,33,130,,,,,,Small Spike,,,,,,,,,,,,,,,
,Zudie98#9616,Chase,Chasemania,,8000,92,80,113,167,475,,,,,,,,,,,,,,,,,,,,,,,,
,@cosplaycleric / Cosplaycleric#4640,Lexi,Buttfart,,0,102,92,91,85,82,119,201,600,204,Miss,70,,,,,,,,,,GMT -7,,,,,,,,
,@braidrass,Braidrass,Tortuga,,,97,129,109,70,69,,,,,,,,,,,,,,,,,,,,,,,,
,Paint#2315,Paint,Honeycove,,,95,107,115,91,74,65,54,110,108,miss,64,,,Random,,Gentle Spike,45%,15%,25%,15%,GMC-6,,,,,,,,
,@sepientia,Lala,Hyazinth,,1000,107,120,104,78,71,66,109,145,66,60,111,105,105,Random,,Gentle Spike,45%,15%,25%,15%,GMT+1,,,,,,,,
,Jenibus#0676,Jenibus,Corellia,,,94,61,,,,,,,,,,,,,,Gentle Spike,45%,15%,25%,15%,GMT -5 (EST),,,,,,,,
,,,,,,,,,114,109,126,129,,,,,,,,,Big Spike,50%,25%,5%,20%,,,,,,,,,
,BonBon#8083,Bonnie,Yonaguni,,,101,80,77,72,68,,,510,205,139,,70,,,,,,,,,GMT -7 (PST),,,,,,,,
,,Choclet,La Mirada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,110,71,68,63,59,54,49,44,39,34,29,25,21,Decreasing,,Decreasing,25%,25%,45%,5%,,,,,,,,,
