,,Tali,Wisteria,,4000,94,84,122,forgot,117,62,57,117,128,62,57,49,43,Fluctuating,,Decreasing,GMT-7 (PST),"Possible Spike Tuesday PM, using turnipprophet.io"
,@AsparagusEdu,Eduardo,Tamarindo,,8000,96,106,113,,,,,,,,,,,Fluctuating,,,,first time seller
,Speakerphone#2128,Stephen,demonreach,,,93,70,66,62,59,55,52,48,105,91,131,166,155,Small Spike,,,GMT -5 (CDT),First time seller
,@barabba9174,Barabba,Barbaria,,,108,46,123,130,,,,,,,,,,,,,,
,@Kimochiyo,Lights,Kimochiyo,,,108,146,112,104,75,66,59,151,,,,,,Small Spike,,,GMT -5 (CDT),
,Riadh#3792,Riadh,Shmeow,SW-3770-5345-4032,3350,103,39,35,31,28,24,21,17,104,114,140,X,43,Small Spike,,,,
,,Aly,Faebelle,,2300,104,90,85,80,75,,,,,,,,,,,,,
,Acephalyss#3706,Lyss,Homko ,,,,,,66,61,58,54,50,115,109,141,,,Small spike ,,Big spike,GMT -5,On the wrong day because time travel and villager move in. 
,@braidrass,braidrass,Tortuga,,,91,81,71,77,70,,,,,,,,,,,,,
,sweetpeaplant#1207,,,,,101,123,97,100,76,,,,,,,,,,,,,
,Patrick#4081,Patje,Asontries,SW-5845-7230-6806,5700,107,x,65,104,137,176,193,,,,,,,Small Spike 100%,,,GMT +1 (CET),
,@sepientia,Lala,Hyazinth,,1000,96,85,81,76,90,132,162,192,150,73,69,65,61,Small Spike,,,GMT +1 (CET),
,@chimlay,chimlay,Macross,,,,40,38,31,27,23,20,117,109,140,172,145,49,,,,,
,@8and1I2OutOf10 / 8&½OutOf10#3283,Anna,Sunsetleaf,4586-8584-6200,4500,107,91,88,83,147,163,281,166,113,,,,,Big Spike,,Decreasing,GMT +2,"Summertime, North Hemisphere"
,,Todd,Island,,,90,116,125,62,56,52,109,,,,,,,,,,,
,@geekindustries,Cee,Pupeen,,,101,103,139,145,157,147,62,58,54,50,48,44,39,,,,,
,@callmesquints,Alec,Katescape,,450,90,82,77,72,68,63,58,98,126,163,,,,,,,,
,@turtlespence,Turtle,Brus Isla,SW-7449-0238-9496,4000,104,x,109,136,150,136,92,,,,,,,Small Spike,,,GMT -5 (CDT),
,Sargas-wielder#5644 ,Sargador,Hobbiton ,,,93,70,67,63,59,55,52,48,121,,,,,Small spike,,Fluctuating,EDT (GMT -4),"Peak on friday or saturday, expecting max 186"
,xantonin#6799,Anthony,Yes,,8000,106,90,-,CLOSE,CLOSED,168,162,86,81,76,,,,Decreasing,,Decreasing,EDT (GMT -4),
,@IsaBousseau/Izzy#4457,Izzy,Gilligan's,SW-0321-7374-2437,1000,98,53,70,-,-,90,-,140,156,173,158,75,71,,,,CET (GMT+2),"Summertime, North hemisphere"
,,Leah,IslaNublar,,940,106,,,,,77,72,67,62,58,,,,Decreasing,,,PST,
,,Remi,Datlof,,,94,84,80,76,131,166,252,187,-,-,40,54,-,Big Spike,,Small Spike,,
,,Just here,for data,,5000,106,95,90,86,81,76,71,68,64,60,57,53,50,Decreasing,,Big spike,,"Decreasing, starting price above 90. Useful info?"
,dAnkeykAnG#9311,matt,Coco,,,,,,,,,,,,,,,,,,,,
